50 50 50 90 90 90
H	27.79429268836975	25.84472894668579	25.01702140085399
H	27.574970722198486	24.77160495519638	23.608781456947327
H	28.44687271118164	24.189596951007843	25.052423398941755
H	26.168542504310608	23.202769875526428	25.054388400167227
H	26.303454518318176	24.34012395143509	26.4082133769989
H	24.111187517642975	27.030747890472412	24.832326397299767
H	25.88875252008438	27.030761003494263	24.831546410918236
H	25.000628566776868	26.59419286251068	26.3188533782959
H	24.99987356676138	24.966126944869757	23.689343452453613
H	23.83132553100586	23.202894926071167	25.055037401616573
H	23.696378588676453	24.340786933898926	26.408409476280212
H	22.42498254776001	24.770957946777344	23.608718395233154
H	22.20575976371765	25.844957947731018	25.016300400719047
H	21.553011655807495	24.18991994857788	25.05271340161562
C	27.593281745910645	24.80258995294571	24.713753402233124
C	26.270467519760132	24.27882593870163	25.30061239004135
C	25.00014256677241	26.50152885913849	25.21593441069126
C	24.99997156677273	25.015219945460558	24.801117405295372
C	23.729430556297302	24.27905297279358	25.30083540081978
C	22.40667176246643	24.80261094868183	24.713670402765274
-236.489199
40 bands
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
